,catagory,sub_cata_1,sub_cata_2,product,price,review,review_num
0,Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Mini Flared Pant 32""",128.0,3.9,584
1,Women's Clothes,Coats & Jackets,,Quilted Light Insulation Jacket,228.0,3.8,63
2,Women's Clothes,Shirts,Long Sleeve Shirts,Back in Action Long-Sleeve Shirt Nulu,78.0,4.4,275
3,Women's Clothes,Hoodies & Sweatshirts,,Scuba Oversized Funnel Neck Half Zip,118.0,4.5,1704
4,Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Pant 25""",98.0,,0
5,Women's Clothes,Hoodies & Sweatshirts,,Define Jacket Luon,128.0,4.4,5623
6,Women's Clothes,Hoodies & Sweatshirts,,Scuba Oversized Half-Zip Hoodie,118.0,4.4,5367
7,Women's Clothes,Pants,Sweatpants,Scuba High-Rise Jogger Full Length,128.0,3.6,1477
8,Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Pant 28""",98.0,3.5,15768
9,Women's Clothes,Shirts,Tank Tops,lululemon Align™ Waist-Length Tank Top,68.0,3.9,667
10,Women's Clothes,Shirts,Tank Tops,lululemon Align™ Tank Top,68.0,4.2,5393
11,Women's Clothes,Pants,Joggers,Dance Studio Mid-Rise Jogger Full Length,98.0,4.1,3579
12,Women's Clothes,Hoodies & Sweatshirts,,Scuba Full-Zip Hoodie,118.0,4.1,4346
13,Women's Clothes,Pants,Leggings,"lululemon Align™ Super-High-Rise Pant 28"" Online Only",98.0,4.1,922
14,Women's Clothes,Pants,Sweatpants,Softstreme High-Rise Pant Full Length,138.0,4.1,494
15,Women's Clothes,Shorts,,"lululemon Align™ High-Rise Short 6""",64.0,4.3,3070
16,Women's Clothes,Hoodies & Sweatshirts,,Nulu Cropped Define Jacket,128.0,4.4,495
17,Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Crop 23""",88.0,3.8,2164
18,Shoes,,,Restfeel Women's Slide,68.0,4.3,505
19,Women's Clothes,Sweaters,,Softstreme Belted Wrap,148.0,4.0,166
20,Women's Clothes,Pants,Leggings,"lululemon Align™ V-Waist Pant 25"" Online Only",128.0,4.2,78
21,Women's Clothes,Pants,Sweatpants,lululemon Align™ High-Rise Jogger Full Length,118.0,3.8,5018
22,Women's Clothes,Pants,Leggings,"lululemon Align™ Ribbed High-Rise Pant 28""",128.0,4.1,176
23,Women's Clothes,Hoodies & Sweatshirts,,Perfectly Oversized Cropped Crew Softstreme,128.0,3.4,1020
24,Women's Clothes,Sports Bras,,"lululemon Align™ Reversible Bra Light Support, A/B Cup",58.0,4.4,566
25,Women's Clothes,Pants,Leggings,"lululemon Align™ Ribbed High-Rise Pant 25""",128.0,4.1,312
26,Women's Clothes,Pants,Trousers,Stretch High-Rise Pant 7/8 Length,128.0,4.1,623
27,Women's Clothes,Hoodies & Sweatshirts,,Scuba Oversized Full Zip Hoodie,128.0,4.4,1403
28,Women's Clothes,Shirts,,lululemon Align™ High-Neck Tank Top,68.0,4.3,442
29,Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Tight 25""",98.0,4.1,6102
30,Women's Clothes,Pants,Leggings,Groove Super-High-Rise Flared Pant Nulu,128.0,4.0,3885
31,Women's Clothes,Shorts,,"Hotty Hot Low-Rise Lined Short 2.5""",68.0,4.3,4050
32,Women's Clothes,Sports Bras,,"Like a Cloud Longline Bra Light Support, B/C Cup",74.0,4.3,558
33,Women's Clothes,Shirts,Tank Tops,lululemon Align™ Waist-Length Racerback Tank Top,58.0,4.4,375
34,Women's Clothes,Shirts,Long Sleeve Shirts,Swiftly Tech Long-Sleeve Shirt 2.0 Race Length,78.0,4.4,1367
35,Women's Clothes,Sports Bras,,"lululemon Energy Longline Bra Medium Support, B–D Cups",64.0,4.0,1918
36,Women's Clothes,Sports Bras,,"Like a Cloud Longline Bra Light Support, D/DD Cup",74.0,4.6,381
37,Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Crop 23""",88.0,4.1,882
38,Women's Clothes,Shorts,,"Wunder Train High-Rise Short 4"" Online Only",64.0,3.9,265
39,Women's Clothes,Shorts,,"Speed Up Mid-Rise Lined Short 4""",68.0,4.3,662
40,Women's Clothes,Sports Bras,,"Free to Be Elevated Bra Light Support, DD/DDD(E) Cup Online Only",54.0,4.1,608
41,Women's Clothes,Sports Bras,,"Free to Be Serene Bra Light Support, C/D Cup Online Only",54.0,4.2,1284
42,Women's Clothes,Shirts,T-Shirts,Back in Action Short-Sleeve T-Shirt,58.0,4.1,580
43,Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Crop 17"" Online Only",88.0,4.2,546
