Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Mini Flared Pant 32""",$128 CAD,3.9,Based on 584 Reviews
Women's Clothes,Coats & Jackets,NA,Quilted Light Insulation Jacket,$228 CAD,3.8,Based on 63 Reviews
Women's Clothes,Shirts,Long Sleeve Shirts,Back in Action Long-Sleeve Shirt Nulu,$78 CAD,4.4,Based on 275 Reviews
Women's Clothes,Hoodies & Sweatshirts,NA,Scuba Oversized Funnel Neck Half Zip,$118 CAD,4.5,Based on 1704 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Pant 25""",$98 - $128 CAD,NA,NA
Women's Clothes,Hoodies & Sweatshirts,NA,Define Jacket Luon,$128 CAD,4.4,Based on 5623 Reviews
Women's Clothes,Hoodies & Sweatshirts,NA,Scuba Oversized Half-Zip Hoodie,$118 CAD,4.4,Based on 5367 Reviews
Women's Clothes,Pants,Sweatpants,Scuba High-Rise Jogger Full Length,$128 CAD,3.6,Based on 1477 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Pant 28""",$98 - $128 CAD,3.5,Based on 15768 Reviews
Women's Clothes,Shirts,Tank Tops,lululemon Align™ Waist-Length Tank Top,$68 CAD,3.9,Based on 667 Reviews
Women's Clothes,Shirts,Tank Tops,lululemon Align™ Tank Top,$68 CAD,4.2,Based on 5393 Reviews
Women's Clothes,Pants,Joggers,Dance Studio Mid-Rise Jogger Full Length,$98 CAD,4.1,Based on 3579 Reviews
Women's Clothes,Hoodies & Sweatshirts,NA,Scuba Full-Zip Hoodie,$118 CAD,4.1,Based on 4346 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ Super-High-Rise Pant 28"" Online Only",$98 CAD,4.1,Based on 922 Reviews
Women's Clothes,Pants,Sweatpants,Softstreme High-Rise Pant Full Length,$138 CAD,4.1,Based on 494 Reviews
Women's Clothes,Shorts,NA,"lululemon Align™ High-Rise Short 6""",$64 - $74 CAD,4.3,Based on 3070 Reviews
Women's Clothes,Hoodies & Sweatshirts,NA,Nulu Cropped Define Jacket,$128 CAD,4.4,Based on 495 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Crop 23""",$88 - $98 CAD,3.8,Based on 2164 Reviews
Shoes,NA,NA,Restfeel Women's Slide,$68 CAD,4.3,Based on 505 Reviews
Women's Clothes,Sweaters,NA,Softstreme Belted Wrap,$148 CAD,4.0,Based on 166 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ V-Waist Pant 25"" Online Only",$128 CAD,4.2,Based on 78 Reviews
Women's Clothes,Pants,Sweatpants,lululemon Align™ High-Rise Jogger Full Length,$118 - $128 CAD,3.8,Based on 5018 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ Ribbed High-Rise Pant 28""",$128 CAD,4.1,Based on 176 Reviews
Women's Clothes,Hoodies & Sweatshirts,NA,Perfectly Oversized Cropped Crew Softstreme,$128 CAD,3.4,Based on 1020 Reviews
Women's Clothes,Sports Bras,NA,"lululemon Align™ Reversible Bra Light Support, A/B Cup",$58 CAD,4.4,Based on 566 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ Ribbed High-Rise Pant 25""",$128 CAD,4.1,Based on 312 Reviews
Women's Clothes,Pants,Trousers,Stretch High-Rise Pant 7/8 Length,$128 CAD,4.1,Based on 623 Reviews
Women's Clothes,Hoodies & Sweatshirts,NA,Scuba Oversized Full Zip Hoodie,$128 CAD,4.4,Based on 1403 Reviews
Women's Clothes,Shirts,NA,lululemon Align™ High-Neck Tank Top,$68 CAD,4.3,Based on 442 Reviews
Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Tight 25""",$98 CAD,4.1,Based on 6102 Reviews
Women's Clothes,Pants,Leggings,Groove Super-High-Rise Flared Pant Nulu,$128 CAD,4.0,Based on 3885 Reviews
Women's Clothes,Shorts,NA,"Hotty Hot Low-Rise Lined Short 2.5""",$68 - $78 CAD,4.3,Based on 4050 Reviews
Women's Clothes,Sports Bras,NA,"Like a Cloud Longline Bra Light Support, B/C Cup",$74 CAD,4.3,Based on 558 Reviews
Women's Clothes,Shirts,Tank Tops,lululemon Align™ Waist-Length Racerback Tank Top,$58 CAD,4.4,Based on 375 Reviews
Women's Clothes,Shirts,Long Sleeve Shirts,Swiftly Tech Long-Sleeve Shirt 2.0 Race Length,$78 CAD,4.4,Based on 1367 Reviews
Women's Clothes,Sports Bras,NA,"lululemon Energy Longline Bra Medium Support, B–D Cups",$64 - $74 CAD,4.0,Based on 1918 Reviews
Women's Clothes,Sports Bras,NA,"Like a Cloud Longline Bra Light Support, D/DD Cup",$74 CAD,4.6,Based on 381 Reviews
Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Crop 23""",$88 - $98 CAD,4.1,Based on 882 Reviews
Women's Clothes,Shorts,NA,"Wunder Train High-Rise Short 4"" Online Only",$64 CAD,3.9,Based on 265 Reviews
Women's Clothes,Shorts,NA,"Speed Up Mid-Rise Lined Short 4""",$68 CAD,4.3,Based on 662 Reviews
Women's Clothes,Sports Bras,NA,"Free to Be Elevated Bra Light Support, DD/DDD(E) Cup Online Only",$54 CAD,4.1,Based on 608 Reviews
Women's Clothes,Sports Bras,NA,"Free to Be Serene Bra Light Support, C/D Cup Online Only",$54 CAD,4.2,Based on 1284 Reviews
Women's Clothes,Shirts,T-Shirts,Back in Action Short-Sleeve T-Shirt,$58 CAD,4.1,Based on 580 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Crop 17"" Online Only",$88 CAD,4.2,Based on 546 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Crop with Pockets 23""",$128 - $138 CAD,4.1,Based on 441 Reviews
Women's Clothes,Shirts,Long Sleeve Shirts,Back in Action Long-Sleeve Shirt,$68 - $78 CAD,3.9,Based on 1503 Reviews
Women's Clothes,Hoodies & Sweatshirts,NA,Define Jacket Nulu,$128 CAD,4.4,Based on 17 Reviews
Women's Clothes,Shirts,Tank Tops,Hold Tight Tank Top,$48 CAD,4.0,Based on 206 Reviews
Women's Clothes,Sports Bras,NA,"Enlite Front-Zip Bra High Support, A–DDD(E) Cups Online Only",$108 CAD,3.4,Based on 1690 Reviews
Women's Clothes,Hoodies & Sweatshirts,NA,Hooded Define Jacket Nulu,$138 CAD,4.3,Based on 2356 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Wide Leg Crop 23"" Online Only",$128 CAD,4.4,Based on 74 Reviews
Women's Clothes,Shirts,Short Sleeve Shirts,Swiftly Tech Short-Sleeve Shirt 2.0 Race Length,$68 CAD,4.4,Based on 625 Reviews
Women's Clothes,Underwear,NA,InvisiWear Mid-Rise Bikini Underwear 5 Pack,$74 CAD,2.4,Based on 61 Reviews
Women's Clothes,Underwear,NA,InvisiWear Mid-Rise Thong Underwear 5 Pack,$74 CAD,2.4,Based on 119 Reviews
Women's Clothes,Shirts,Short Sleeve Shirts,Hold Tight Short-Sleeve Shirt,$58 CAD,4.2,Based on 100 Reviews
Women's Clothes,Sports Bras,NA,"Like a Cloud Ribbed Bra Light Support, B/C Cup",$64 CAD,4.5,Based on 33 Reviews
Women's Clothes,Sports Bras,NA,"lululemon Align™ Bra Light Support, C/D Cup",$58 - $64 CAD,4.5,Based on 173 Reviews
Women's Clothes,Shirts,Tank Tops,Sculpt Cropped Tank Top,$58 CAD,4.4,Based on 274 Reviews
Women's Clothes,Underwear,NA,UnderEase Mid-Rise Thong Underwear 3 Pack,$48 CAD,3.3,Based on 116 Reviews
Women's Clothes,Underwear,NA,UnderEase Mid-Rise Bikini Underwear 3 Pack,$48 CAD,3.8,Based on 102 Reviews
Women's Clothes,Shirts,T-Shirts,Train to Be Short-Sleeve Shirt,$68 CAD,4.1,Based on 90 Reviews
Women's Clothes,Shorts,NA,"Wunder Train Contour Fit High-Rise Short 4"" Online Only",$64 CAD,3.9,Based on 72 Reviews
Women's Clothes,Pants,Leggings,"Wunder Train Contour Fit High-Rise Tight 25""",$98 CAD,4.2,Based on 411 Reviews
NA,NA,NA,Scuba Full-Zip Cropped Hoodie,$118 CAD,5.0,Based on 1 Reviews
Women's Clothes,Shirts,Long Sleeve Shirts,Waterside Relaxed UV Protection Long Sleeve,$84 CAD,3.6,Based on 65 Reviews
Women's Clothes,Pants,Capris,Dance Studio Mid-Rise Cropped Pants,$88 CAD,4.3,Based on 231 Reviews
Women's Clothes,Shirts,Long Sleeve Shirts,All It Takes Long-Sleeve Shirt Nulu,$68 CAD,4.6,Based on 8 Reviews
Women's Clothes,Sports Bras,NA,"Ribbed Nulu Asymmetrical Yoga Bra Light Support, A/B Cup",$64 CAD,4.3,Based on 172 Reviews
Women's Clothes,Shorts,NA,"Dance Studio High-Rise Short 3.5"" Online Only",$68 CAD,4.3,Based on 22 Reviews
Women's Clothes,Sweaters,NA,Cotton-Blend Mock Neck Sweater,$128 CAD,NA,NA
Women's Clothes,Sports Bras,NA,"Everlux Mesh-Back Train Bra Light Support, C/D Cup Online Only",$74 CAD,NA,NA
Women's Clothes,Shirts,Long Sleeve Shirts,Hold Tight Long-Sleeve Shirt,$68 CAD,4.3,Based on 415 Reviews
